City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Paita,PE,81.16,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
3,Oussouye,SN,87.98,overcast clouds,12.485,-16.5469,Auberge du Routard
8,Bethel,US,80.02,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
12,Tabas,IR,84.65,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
14,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
20,Hithadhoo,MV,82.11,light rain,-0.6,73.0833,Scoop Guest House
22,Bontang,ID,75.85,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
28,Naze,JP,75.9,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
35,Sao Filipe,CV,79.21,scattered clouds,14.8961,-24.4956,Hotel Xaguate
36,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
39,Butaritari,KI,82.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
40,Padang,ID,77.41,overcast clouds,-0.9492,100.3543,Mercure Padang
43,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
45,Plattsburgh,US,81.86,scattered clouds,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
46,Atuona,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
47,Torbay,CA,75.76,overcast clouds,47.6666,-52.7314,Gallows Cove
51,Ibra,OM,87.96,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
52,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Namatanai,PG,77.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
58,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
66,Chaman,PK,75.49,clear sky,30.9236,66.4512,Niamat parda Center chaman
70,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
73,Takoradi,GH,76.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
76,Victoria,HK,85.98,scattered clouds,22.2855,114.1577,Mini Hotel Central
84,Narasannapeta,IN,80.19,overcast clouds,18.4167,84.05,G.lingaraju home
85,Laguna De Perlas,NI,84.29,overcast clouds,12.3429,-83.6712,Hotel Best View
94,Sola,VU,79.23,overcast clouds,-13.8833,167.55,Leumerus Bungalows
109,Mumford,GH,75.24,overcast clouds,5.2618,-0.759,Spanish Villa
112,Port Blair,IN,77.67,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
120,Manaure,CO,89.4,overcast clouds,11.7751,-72.4445,Hotel Palaaima
123,Yushan,CN,76.89,light rain,31.3776,120.9543,Swissotel Kunshan
127,Labuan,MY,78.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
128,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
135,Pangyan,PH,76.57,broken clouds,5.7008,125.2811,TLS Cliff View Point
143,Lompoc,US,88.21,light intensity drizzle,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
146,Labuhan,ID,79.05,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
153,Bonavista,CA,75.2,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
156,Veraval,IN,81.19,overcast clouds,20.9,70.3667,Lords Inn Somnath
157,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
159,Dwarka,IN,81.99,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
160,Ugoofaaru,MV,83.01,broken clouds,5.6667,73.0,Ungoofaaru Inn
167,Kutum,SD,85.21,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
171,Mayumba,GA,76.05,clear sky,-3.432,10.6554,LIKWALE LODGE
