City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fangshan,CN,39.6983,115.9925,66.06,96,100,6.6,light rain
1,Obigarm,TJ,38.7173,69.7088,60.13,25,0,4.92,clear sky
2,Hobart,AU,-42.8794,147.3294,49.86,74,20,1.99,few clouds
3,Saskylakh,RU,71.9167,114.0833,33.57,98,100,10.87,overcast clouds
4,Port-Gentil,GA,-0.7193,8.7815,77.97,83,79,9.08,broken clouds
5,Butaritari,KI,3.0707,172.7902,82.51,75,6,16.08,light rain
6,Bubaque,GW,11.2833,-15.8333,82.22,76,99,7.85,overcast clouds
7,Asau,RO,46.4333,26.4,45.95,78,84,6.76,broken clouds
8,Ouango,CF,4.3133,22.5552,68.85,99,100,1.77,overcast clouds
9,Ribeira Grande,PT,38.5167,-28.7,70.48,64,100,6.89,overcast clouds
10,Avarua,CK,-21.2078,-159.775,73.45,60,20,6.91,few clouds
11,Castro,BR,-24.7911,-50.0119,60.73,59,100,4.97,overcast clouds
12,Stornoway,GB,58.2093,-6.3865,55.92,82,95,17.27,overcast clouds
13,Kruisfontein,ZA,-34.0033,24.7314,59.88,76,44,13.85,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,47.82,64,99,9.31,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,30.22,86,100,2.89,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,48.47,60,41,6.85,scattered clouds
17,Binzhou,CN,37.3667,118.0167,67.8,89,100,10.87,light rain
18,Fortuna,US,40.5982,-124.1573,75.92,60,1,4.0,clear sky
19,Baglan,AF,36.1307,68.7083,69.58,26,0,1.36,clear sky
20,Chingola,ZM,-12.529,27.8838,71.74,35,92,11.01,overcast clouds
21,Albany,US,42.6001,-73.9662,78.64,76,100,13.35,overcast clouds
22,Lorengau,PG,-2.0226,147.2712,79.93,81,98,8.77,heavy intensity rain
23,Doha,QA,25.2867,51.5333,85.98,64,0,0.0,clear sky
24,Camacha,PT,33.0833,-16.3333,68.76,68,20,10.36,few clouds
25,Kapaa,US,22.0752,-159.319,82.38,74,75,3.0,light rain
26,Kenora,CA,49.8167,-94.4337,66.18,38,94,13.6,overcast clouds
27,Leningradskiy,RU,69.3833,178.4167,26.92,93,100,8.63,overcast clouds
28,North Bend,US,43.4065,-124.2243,81.25,64,1,25.32,clear sky
29,Atuona,PF,-9.8,-139.0333,78.1,74,11,17.45,few clouds
30,Brae,GB,60.3964,-1.353,46.31,85,100,13.06,overcast clouds
31,Busselton,AU,-33.65,115.3333,43.09,80,0,10.36,clear sky
32,Khatanga,RU,71.9667,102.5,33.19,98,100,6.62,overcast clouds
33,Plettenberg Bay,ZA,-34.0527,23.3716,60.55,76,100,9.93,overcast clouds
34,Bengkulu,ID,-3.8004,102.2655,74.71,89,100,4.32,overcast clouds
35,Marsa Matruh,EG,31.3525,27.2453,74.34,75,49,17.43,scattered clouds
36,Klaksvik,FO,62.2266,-6.589,45.52,95,100,33.13,overcast clouds
37,Hithadhoo,MV,-0.6,73.0833,80.49,84,100,17.87,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,48.31,57,75,14.97,broken clouds
39,Bluff,NZ,-46.6,168.3333,48.79,75,81,24.0,broken clouds
40,Saverne,FR,48.8333,7.25,57.0,88,44,5.53,scattered clouds
41,Cape Town,ZA,-33.9258,18.4232,60.89,84,91,1.01,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,69.35,78,37,11.12,scattered clouds
43,Ilulissat,GL,69.2167,-51.1,24.82,74,75,18.41,light shower snow
44,Boa Vista,BR,2.8197,-60.6733,89.58,55,20,5.75,few clouds
45,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.44,94,91,3.51,light rain
46,Chuy,UY,-33.6971,-53.4616,55.81,93,94,6.4,overcast clouds
47,Komsomolets,KZ,53.7453,62.0708,40.51,63,13,4.7,few clouds
48,Bredasdorp,ZA,-34.5322,20.0403,55.27,90,75,7.78,broken clouds
49,Cabo San Lucas,MX,22.8909,-109.9124,97.52,74,40,8.05,scattered clouds
50,Waris Aliganj,IN,25.0167,85.6333,78.39,90,96,4.72,overcast clouds
51,Nanortalik,GL,60.1432,-45.2371,36.39,78,11,20.92,few clouds
52,Namatanai,PG,-3.6667,152.4333,79.81,75,100,6.49,overcast clouds
53,Namibe,AO,-15.1961,12.1522,66.24,93,32,8.14,scattered clouds
