City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,9/21/2021 23:19,-53.15,-70.9167,48.18,80,100,7.67
1,Turan,VN,9/21/2021 23:23,16.0678,108.2208,78.85,94,75,1.14
2,Hithadhoo,MV,9/21/2021 23:20,-0.6,73.0833,82.67,76,100,15.95
3,Severo-Kurilsk,RU,9/21/2021 23:24,50.6789,156.125,51.17,76,37,11.1
4,Geraldton,AU,9/21/2021 23:24,-28.7667,114.6,57.61,28,0,12.66
5,Sao Filipe,CV,9/21/2021 23:19,14.8961,-24.4956,79.27,81,22,7
6,Sembe,CG,9/21/2021 23:24,1.6481,14.5806,70.97,98,71,2.3
7,Khatanga,RU,9/21/2021 23:24,71.9667,102.5,34.43,82,72,11.7
8,Tuy Hoa,VN,9/21/2021 23:24,13.0833,109.3,75.96,91,89,4.05
9,Kapaa,US,9/21/2021 23:21,22.0752,-159.319,84.18,69,1,3
10,Talnakh,RU,9/21/2021 23:24,69.4865,88.3972,30.38,84,21,3.83
11,Albany,US,9/21/2021 23:21,42.6001,-73.9662,67.62,79,95,4.23
12,Richards Bay,ZA,9/21/2021 23:24,-28.783,32.0377,63.97,60,98,10.92
13,Qaanaaq,GL,9/21/2021 23:23,77.484,-69.3632,11.5,71,10,7.49
14,Thompson,CA,9/21/2021 23:19,55.7435,-97.8558,48.36,61,40,2.3
15,Katangli,RU,9/21/2021 23:24,51.7102,143.2326,50.43,69,100,10.78
16,Torbay,CA,9/21/2021 23:22,47.6666,-52.7314,57.27,77,20,21.85
17,Bluff,NZ,9/21/2021 23:24,-46.6,168.3333,52.81,62,52,21.09
18,Sitka,US,9/21/2021 23:24,57.0531,-135.33,55.29,76,90,16.11
19,Oum Hadjer,TD,9/21/2021 23:24,13.2954,19.6966,83.95,63,95,8.25
20,Port Alfred,ZA,9/21/2021 23:24,-33.5906,26.891,56.7,75,70,5.12
21,Ayia Galini,GR,9/21/2021 23:24,35.1,24.6833,75.74,61,31,1.66
22,Rovereto,IT,9/21/2021 23:24,45.8896,11.0387,61.09,85,26,2.48
23,Rikitea,PF,9/21/2021 23:23,-23.1203,-134.9692,74.07,71,1,13.69
24,Bredasdorp,ZA,9/21/2021 23:24,-34.5322,20.0403,51.28,87,4,3.44
25,Hobart,AU,9/21/2021 23:21,-42.8794,147.3294,63.27,56,0,4
26,Codrington,AU,9/21/2021 23:20,-38.2667,141.9667,54.36,88,100,10.04
27,Draguignan,FR,9/21/2021 23:24,43.5333,6.4667,65.79,86,3,0
28,Karratha,AU,9/21/2021 23:21,-20.7377,116.8463,78.04,20,99,23.13
29,Dauriya,RU,9/21/2021 23:24,49.9333,116.8667,48.67,75,16,1.39
30,Jinchang,CN,9/21/2021 23:21,38.4953,102.1739,64.67,30,95,5.41
31,Hermanus,ZA,9/21/2021 23:24,-34.4187,19.2345,52.9,84,8,11.54
32,Mataura,NZ,9/21/2021 23:24,-46.1927,168.8643,52.48,56,27,2.86
33,Tarauaca,BR,9/21/2021 23:22,-8.1614,-70.7656,80.69,68,70,1.7
34,Aklavik,CA,9/21/2021 23:24,68.2191,-135.0107,39.92,74,100,12.48
35,Kijang,KR,9/21/2021 23:24,35.2442,129.2139,71.33,86,1,7.38
36,Lorengau,PG,9/21/2021 23:21,-2.0226,147.2712,83.28,72,100,6.55
37,Bandarbeyla,SO,9/21/2021 23:23,9.4942,50.8122,79.05,71,100,20.18
38,Belyy Yar,RU,9/21/2021 23:24,53.6039,91.3903,42.69,65,0,11.18
39,Grand Island,US,9/21/2021 23:24,40.925,-98.342,70.75,39,1,1.01
40,Kirakira,SB,9/21/2021 23:24,-10.4544,161.9205,83.7,72,48,5.48
41,Ushuaia,AR,9/21/2021 23:19,-54.8,-68.3,46.06,81,75,0
42,Marzuq,YE,9/21/2021 23:21,14.4,46.4667,78.84,57,72,1.88
43,Manjacaze,MZ,9/21/2021 23:24,-24.7117,33.8828,66.33,69,80,13.6
44,Lebu,CL,9/21/2021 23:20,-37.6167,-73.65,50.5,86,0,3.83
45,Namatanai,PG,9/21/2021 23:24,-3.6667,152.4333,82.38,75,100,5.93
46,Lompoc,US,9/21/2021 23:23,34.6391,-120.4579,96.94,87,75,8.05
47,Longyearbyen,SJ,9/21/2021 23:24,78.2186,15.6401,42.64,65,20,11.5
48,Makinsk,KZ,9/21/2021 23:24,52.6292,70.4169,31.3,85,45,6.69
49,Kahului,US,9/21/2021 23:24,20.8947,-156.47,84.22,55,40,24.16
50,Fairbanks,US,9/21/2021 23:22,64.8378,-147.7164,38.61,60,90,1.01
51,El Llano,MX,9/21/2021 23:24,20.05,-99.3,71.74,56,49,14.25
52,Tshela,CD,9/21/2021 23:24,-4.9833,12.9333,72.52,93,31,2.86
53,Vaini,TO,9/21/2021 23:19,-21.2,-175.2,78.96,73,20,10.36
54,Finschhafen,PG,9/21/2021 23:24,-6.6024,147.8681,81.9,73,100,8.46
55,Schwerin,DE,9/21/2021 23:24,53.6294,11.4132,56.59,95,100,5.99
56,Garbolovo,RU,9/21/2021 23:24,60.3413,30.4955,42.31,83,98,4.34
57,Mount Isa,AU,9/21/2021 23:23,-20.7333,139.5,58.77,17,36,19.57
58,Nicoya,CR,9/21/2021 23:24,10.1483,-85.452,80.15,85,74,1.79
59,Avarua,CK,9/21/2021 23:22,-21.2078,-159.775,78.85,61,75,5.75
60,Barrow,US,9/21/2021 23:20,71.2906,-156.7887,33.82,60,90,17.27
61,Saint-Philippe,RE,9/21/2021 23:24,-21.3585,55.7679,65.79,79,38,8.41
62,Kawalu,ID,9/21/2021 23:24,-7.3817,108.2082,70.75,94,100,1.54
63,Kavaratti,IN,9/21/2021 23:22,10.5669,72.642,81.64,78,37,15.77
64,Butaritari,KI,9/21/2021 23:24,3.0707,172.7902,82.9,68,83,12.73
65,Victoria,HK,9/21/2021 23:23,22.2855,114.1577,84.33,85,98,4.52
66,Upernavik,GL,9/21/2021 23:22,72.7868,-56.1549,20.66,53,36,5.48
67,Haradok,BY,9/21/2021 23:24,55.4624,29.9816,38.89,98,100,8.16
68,North Bend,US,9/21/2021 23:24,43.4065,-124.2243,88.95,33,1,12.66
69,Busselton,AU,9/21/2021 23:21,-33.65,115.3333,56.75,71,0,3.2
70,Gat,IL,9/21/2021 23:21,31.61,34.7642,78.4,72,0,2.51
71,Beira,MZ,9/21/2021 23:24,-19.8436,34.8389,75.29,73,40,9.22
72,Tagab,AF,9/21/2021 23:24,34.855,69.6492,69.71,38,0,3.47
73,Salalah,OM,9/21/2021 23:23,17.0151,54.0924,80.69,83,75,6.91
74,Angoram,PG,9/21/2021 23:24,-4.0625,144.0661,80.38,87,99,2.8
75,Kendari,ID,9/21/2021 23:24,-3.945,122.4989,69.4,94,100,4.12
76,Kitimat,CA,9/21/2021 23:22,54.0524,-128.6534,55.78,41,100,1.99
77,Jamestown,US,9/21/2021 23:20,42.097,-79.2353,69.39,84,90,1.99
78,Lanzhou,CN,9/21/2021 23:24,36.0564,103.7922,61.88,68,100,5.79
79,Atuona,PF,9/21/2021 23:19,-9.8,-139.0333,77.95,70,12,21.63
80,Vicuna,CL,9/21/2021 23:24,-30.0319,-70.7081,60.76,65,0,3.29
81,Airai,TL,9/21/2021 23:24,-8.9266,125.4092,65.64,67,81,4.61
82,Guerrero Negro,MX,9/21/2021 23:24,27.9769,-114.0611,80.35,57,40,13.2
83,Waingapu,ID,9/21/2021 23:24,-9.6567,120.2641,79.83,75,77,9.17
84,Sulangan,PH,9/21/2021 23:24,11.1373,123.7228,82.11,73,73,3.04
85,Buenos Aires,AR,9/21/2021 23:22,-34.6132,-58.3772,56.97,62,0,17.27
86,Lazarev,RU,9/21/2021 23:24,52.225,141.5131,49.98,67,78,12.17
87,Kambove,CD,9/21/2021 23:24,-10.8764,26.5969,64.83,25,8,5.21
88,Batemans Bay,AU,9/21/2021 23:24,-35.7167,150.1833,60.19,48,38,2.66
89,Tarakan,ID,9/21/2021 23:24,3.3,117.6333,78.3,89,75,1.14
90,New Norfolk,AU,9/21/2021 23:23,-42.7826,147.0587,63.72,63,52,1.99
91,Esperantinopolis,BR,9/21/2021 23:24,-4.8667,-44.7083,83.37,51,83,3.74
92,Saskylakh,RU,9/21/2021 23:24,71.9167,114.0833,31.95,90,100,6.87
93,Hilo,US,9/21/2021 23:22,19.7297,-155.09,83.28,73,90,8.05
94,Walvis Bay,NA,9/21/2021 23:24,-22.9575,14.5053,49.15,100,17,4.61
95,Lokosovo,RU,9/21/2021 23:24,61.1333,74.8167,32.95,95,99,7.34
96,Mahebourg,MU,9/21/2021 23:24,-20.4081,57.7,70.09,64,75,11.5
97,Asgabat,TM,9/21/2021 23:24,37.95,58.3833,67.86,37,40,4.61
98,Avera,US,9/21/2021 23:24,33.194,-82.5271,83.08,82,67,6.29
99,Baturaja,ID,9/21/2021 23:24,-4.1333,104.1667,72.77,93,6,2.35
100,Mandalgovi,MN,9/21/2021 23:24,45.7625,106.2708,50.49,65,23,4.79
101,Tukrah,LY,9/21/2021 23:24,32.5341,20.5791,82.08,43,0,6.98
102,Ancud,CL,9/21/2021 23:24,-41.8697,-73.8203,51.33,87,0,2.93
103,Gornorechenskiy,RU,9/21/2021 23:24,44.2624,135.1133,59.52,98,99,1.52
104,Baruun-Urt,MN,9/21/2021 23:24,46.6806,113.2792,51.87,66,3,4.94
105,Calama,CL,9/21/2021 23:24,-22.4667,-68.9333,61.92,21,100,9.93
106,Yulara,AU,9/21/2021 23:21,-25.2406,130.9889,55.24,35,19,13.8
107,Soure,BR,9/21/2021 23:24,-0.7167,-48.5233,80.02,80,24,11.68
108,Butembo,CD,9/21/2021 23:24,0.15,29.2833,57.06,96,83,2.26
109,Bardiyah,LY,9/21/2021 23:24,31.7561,25.0865,77.9,72,0,11.07
110,Cockburn Town,TC,9/21/2021 23:21,21.4612,-71.1419,83.05,79,6,19.48
111,Komsomolskiy,UZ,9/21/2021 23:23,40.4272,71.7189,63.75,51,0,4.61
112,Ostrovnoy,RU,9/21/2021 23:20,68.0531,39.5131,34.36,89,3,10.25
113,Kaitangata,NZ,9/21/2021 23:21,-46.2817,169.8464,52.54,57,14,5.88
114,Bilma,NE,9/21/2021 23:24,18.6853,12.9164,85.66,13,36,3.49
115,Bealanana,MG,9/21/2021 23:24,-14.55,48.7333,58.19,86,92,4.07
116,Chengde,CN,9/21/2021 23:24,40.9725,117.9361,53.91,86,71,3.42
117,Puerto Ayora,EC,9/21/2021 23:24,-0.7393,-90.3518,69.55,90,74,7
118,Bambous Virieux,MU,9/21/2021 23:21,-20.3428,57.7575,70.05,64,75,11.5
119,Georgetown,MY,9/21/2021 23:21,5.4112,100.3354,77.9,85,40,2.3
120,Cayenne,GF,9/21/2021 23:24,4.9333,-52.3333,84.09,78,75,4
121,Vardo,NO,9/21/2021 23:24,70.3705,31.1107,41.99,75,19,28.63
122,Honiara,SB,9/21/2021 23:24,-9.4333,159.95,84.99,68,3,5.88
123,Vila Franca Do Campo,PT,9/21/2021 23:24,37.7167,-25.4333,70.21,83,13,6.64
124,San Cristobal,VE,9/21/2021 23:21,7.7669,-72.225,75.38,99,100,3.27
125,Cape Town,ZA,9/21/2021 23:23,-33.9258,18.4232,55.81,72,0,3
126,Luderitz,NA,9/21/2021 23:22,-26.6481,15.1594,70.43,35,10,6.91
127,Rassvet,RU,9/21/2021 23:24,46.8333,40.75,55.09,97,91,4.47
128,Arcata,US,9/21/2021 23:24,40.8665,-124.0828,91.74,27,1,1.99
129,Sao Jose Da Coroa Grande,BR,9/21/2021 23:24,-8.8978,-35.1478,75.15,80,33,8.05
130,Brigantine,US,9/21/2021 23:24,39.4101,-74.3646,73.69,94,90,0
131,Cairns,AU,9/21/2021 23:19,-16.9167,145.7667,77.11,39,74,20.71
132,Beboto,TD,9/21/2021 23:24,8.2668,16.939,71.37,93,85,2.21
133,Dikson,RU,9/21/2021 23:24,73.5069,80.5464,34.2,79,100,1.66
134,Preobrazheniye,RU,9/21/2021 23:24,42.9019,133.9064,67.15,94,70,3.24
135,Storforshei,NO,9/21/2021 23:21,66.4043,14.5233,46.65,98,100,7.7
136,Kodiak,US,9/21/2021 23:19,57.79,-152.4072,51.31,25,1,34.52
137,Aksu,CN,9/21/2021 23:22,41.1231,80.2644,68.25,26,0,4.34
138,East London,ZA,9/21/2021 23:21,-33.0153,27.9116,58.17,64,88,4.88
139,Turukhansk,RU,9/21/2021 23:24,65.8167,87.9833,32.02,91,99,10.38
140,Ribeira Grande,PT,9/21/2021 23:21,38.5167,-28.7,71.31,80,6,16.49
141,Baculin,PH,9/21/2021 23:23,7.4525,126.5842,81.12,74,82,1.61
142,Manyana,BW,9/21/2021 23:23,-23.4,21.7167,60.35,14,2,8.21
143,Esperance,AU,9/21/2021 23:21,-33.8667,121.9,57.22,44,1,15.28
144,Nikolskoye,RU,9/21/2021 23:24,59.7035,30.7861,43.02,82,100,5.95
145,Saint-Joseph,RE,9/21/2021 23:23,-21.3667,55.6167,64.78,75,18,7.18
146,Longonjo,AO,9/21/2021 23:24,-12.9067,15.2533,72.75,53,97,2.33
147,Usinsk,RU,9/21/2021 23:24,65.9939,57.5281,40.19,97,95,8.34
